Word (in Normal Form), Descents
cabbacb,c
bcabcabcabacabacab,bc
bacbacbacbba,b
abcabacabacabac,a
bacbacabac,ab
bacabacabacab,b
cbacacaba,bc
acabba,ac
cabcabcbacabaca,c
bacbacabacac,ab
cbaccabac,c
acbacbacabaca,ac
abacacaba,ab
acabab,ac
cabcabacabacabac,ac
cbacbacabacabaca,c
cbaccba,c
cabacba,c
abacabacb,ab
acabacabacab,ac
bacabacabacb,b
cabb,c
bacbacbaca,b
bacc,b
bcababac,bc
cabcabbb,c
cbacabacbba,bc
abbacab,a
bacbacbacbaca,ab
bacbacbb,b
bcabcabcab,b
acbacacb,a
cabacabacabac,c
accabaca,a
acbacbacbaca,a
bacbacbaccb,ab
cabcabcabacabacaba,c
accaca,ac
baccabacabacabacaba,ab
ababac,ab
cababacabac,c
cabacaca,c
cabbacaba,ac
bacbaccab,b
bcabacb,bc
bcabcabc,b
cabcabacabba,ac
bcabacac,bc
cabacabacb,c
ccb,bc
bcac,b
abcabcabacb,ab
cbacacb,bc
acacaba,ac
acbacca,a
abcabacaba,a
acbacbb,a
bcabcabcaba,bc
abacabb,ab
cbacabacab,bc
bbab,ab
ccaba,abc
acbacbacbac,a
abbacabac,a
bacbacabacb,ab
cabbaca,ac
acabacac,ac
bcabacabaca,bc
cbacbacbacbacc,c
abcbb,a
cbabacaba,c
cbacaca,bc
cbacabacba,bc
acabacb,ac
acabacabac,ac
acbacba,a
abcabacabacac,a
bcbbabacb,bc
cabacabacbab,c
ababa,ab
baccba,ab
cbacbacabacabac,c
cbacabacb,bc
abacac,ab
abacabacabacab,ab
abacacabacba,ab
bcababacabacacba,bc
bcabacabacab,bc
cbcab,bc
cbacabacabac,bc
abcabacabacab,a
baccab,b
acabacabacaba,ac
bacabb,b
bcababacabacbb,bc
cabcabb,c
cabacabacbb,c
bacabacabacabacabaca,b
bcabcabacab,b
acababacabacabaca,ac
abcababa,a
abcbba,a
acbacbacbacbaca,ac
cabcabacba,ac
cabcababacab,ac
baccabacaba,ab
bcabcabcabacaba,bc
abacababacaba,ab
abcabcabacba,ab
abcabb,a
cabacababacabacab,c
bbbab,ab
bcabcabacb,b
bcabba,b
abacabacac,ab
cbacbaccab,c
cabcabacab,ac
abcabcabacab,ab
bcabcabaca,b
acabacabaca,ac
bacabacacab,b
acbacaba,a
cbacbacbacbacbaca,bc
abcbac,a
bcabcabb,b
ccba,bc
acbc,a
cabcabcabcabcaba,c
bacababac,b
cbbb,c
bcabcba,b
cbacbacacba,c
ccbac,bc
bacabacac,b
cacab,ac
bcbabacaba,bc
abacbb,ab
bacca,b
abcabacabac,a
cabcabcabacab,c
bcabcabacaba,b
acababacab,ac
bacacaba,b
bcababacab,bc
cababacb,c
accacb,ac
cabcabcabacb,c
bcabcabac,b
bab,ab
acbabaca,ac
abcabacabaca,a
bacacb,b
cabcabbacab,c
cabcba,ac
ccababa,abc
ccbaca,bc
abcabcabac,ab
ababacabacaba,ab
acababa,ac
abacababa,ab
acbacbba,a
cabbacac,ac
abcabbaca,ab
abcabcabacabac,ab
bcabacabb,bc
cabacabacabacb,c
bcababacabacab,bc
bbaba,ab
acbacbacbbba,a
bcababaca,bc
abacabacabacabaca,ab
abcabbacab,ab
acbacac,a
cbbab,c
bcbac,bc
bacbacaba,ab
bacbacbacbacbaca,b
cabcababac,ac
acacba,ac
abcababac,a
cabcabcabcab,c
accba,a
abbabacb,ab
cbabacab,c
ccabacaba,abc
acabacba,ac
abacabacaca,ab
acabacbb,ac
bcbabac,bc
bcabab,bc
bacbacabacabac,ab
accabacab,a
acbaccb,ac
abcababaca,a
cbacabacacb,bc
cbacababacaba,bc
bacbacabba,ab
acabacabacbb,ac
cabcabcabcaba,ac
cabacabacabaca,c
cbacbacac,c
bcabcabcabac,bc
acabbba,ac
bacbacbacc,b
bacacbb,b
acacab,ac
acabacabacb,ac
cbacbacba,c
bacbacac,ab
abcacabaca,ab
bacbba,b
bbacab,abc
bacabba,b
acabacacb,ac
bcabbaca,b
bcabacabacb,bc
cabacabacab,c
abbacabacaba,a
acbacabacabac,a
cbabacb,c
cbacabacabacaba,bc
bacbacc,b
cbacabacabacabacab,bc
bacacabacab,b
bacbacbacabac,b
cbacabacbb,bc
abcabcabc,a
cbaccbba,c
bcabcabacba,b
ccbba,abc
bcabacabacababac,bc
bacbacba,b
cabacabb,c
acbacabacacaba,a
abbacabacabacab,a
cabacabacabacaba,c
bcabcabbac,b
bacbacbacbacacb,ab
ccabacab,abc
accac,ac
cbacbaccaba,bc
cacba,ac
baba,ab
acacabb,ac
bcbbb,bc
bcabcabcabcab,b
abcabbb,a
bcabbacb,b
bcabacabacabac,bc
cabacacba,c
bacbacbacab,b
abacababacab,ab
abcacab,ab
bbacba,ab
acbaccba,ac
acacababa,ac
acbacc,a
cbacbacbacbac,c
cabcabca,c
abcabacabacb,a
abacabacababa,ab
bacabab,b
abcabcabcb,a
cbacabacabab,bc
acbacbacba,a
acbacacab,a
baccabacacba,ab
acabacacaba,ac
abacbbb,ab
ccabacb,abc
acbacbacaba,ac
cabacacb,c
bacbacbacbacac,ab
bacbacacb,ab
abbacaba,a
cabcbabacba,ac
cabcac,c
bcabbab,bc
acbacabacb,a
cacb,ac
ccca,c
bacababa,b
bacbacbacbac,b
acbacbacacb,ac
bacababacabacabacba,b
abbacb,a
cbacbaba,bc
cabcabacabacabacaba,ac
bacabacabb,b
abacabacabacabac,ab
ababacba,ab
cbbbaca,bc
cbacbacab,c
abacabacabacabacb,ab
bcabacabacacaba,bc
cbacabacabacabaca,bc
acbacabacaba,a
bacabacaca,b
bcabacbb,bc
cbacbacbacbacbac,c
bacbacaca,ab
cbacabacabacb,bc
bacbabacab,b
cbabacabac,c
cbacbacbacbacabac,c
ccabacabacabaca,abc
cabcacabacb,c
bcabcabcabcabcab,b
abbba,ab
bcacabacab,b
bcabcbba,b
accabac,a
cbaba,c
acabacabacba,ac
bacacabacabacab,b
abcababacabaca,a
cabcacb,c
bacacabac,b
cbacabacacab,bc
cabcbac,ac
cbacacabba,bc
cabcababaca,ac
bcabcabcba,bc
abacbba,ab
bcabcabacabacb,b
cabacabacabacabaca,c
bacbacabacabaca,ab
bcacb,b
bcbacabacabacabacab,bc
cabcabba,c
bbac,ab
cabcabbaca,c
acbacabacababac,a
bacabacabaca,b
ccabac,abc
accabacb,a
cac,ac
bcabcabcabcaba,b
abacacababa,ab
bcabacabacabaca,bc
cababacaba,c
abcabcabcab,a
bacabacabba,b
acabacbbb,ac
bcabcabcabc,b
abacabacabac,ab
abcabcabcabac,a
cbacbacbacacb,bc
abacabacabacaba,ab
bcabacabab,bc
bacbcaba,ab
acbacbacabacb,ac
bacacab,b
bbc,bc
acabacabacbabacab,ac
cabacbb,c
bacbacbacba,b
bacbacbacbacc,b
acacabacb,ac
bacabacbbbab,b
bacbacabacabba,ab
cabcbacaba,ac
acabacacabacabacabac,ac
bbaccba,ab
abcabacacab,a
bcabacbba,bc
cabcabcabcabcabcaba,ac
acbacbacac,ac
bbbacb,b
cbacbacacabacab,c
acbacabacab,a
cabcababacaba,ac
abcabcba,ab
acacabacabac,ac
bacabacababacab,b
bbacaba,abc
abacabab,ab
bacabacbba,b
acacabac,ac
abcabbacb,a
bacacabaca,b
ababacacab,ab
cabacbba,c
abcabbacaba,ab
cabcacab,c
acababac,ac
cacaba,ac
acacabacabacb,ac
cabacac,c
bcabacabacabacabacabacaba,bc
cabbacacabacabacac,ac
cbbba,c
cbacbacaba,c
acabbabaca,ac
cbacbacbacbacacb,c
cbacbacbacbb,c
abcabcabca,a
ababacabac,ab
cabcabcabc,c
babac,ab
abcabcabbacabacabac,a
acababaca,ac
ccabaca,abc
baccabac,ab
abacacabaca,ab
cbacabb,bc
acbacbaccab,a
abacabacbba,ab
bbacb,ab
bacacabacabaca,b
accabacabacba,a
cbacbacacb,c
babacab,ab
ccabacabaca,abc
acabacabacabacabacab,ac
baccbac,ab
bacabacabab,b
acabacabba,ac
baccabacabaca,ab
bcabcabacababac,b
acabacabacabacaba,ac
bacbacbacbacaba,ab
abcac,ab
bacbaccabb,b
bbb,b
acabacaca,ac
acbacacaba,a
cbacca,c
cbacabacabacabac,bc
bcabacacab,bc
cbacbacbacac,bc
bcababa,bc
accabb,a
bacbacbacbacabaca,ab
acbacabba,a
abacabacba,ab
abacabbaba,ab
abcabcabaca,ab
cabcabaca,ac
cabbacab,ac
cabbb,c
accbac,a
bacbacbaccaba,ab
abcbabaca,a
bcabcabcabacab,bc
bcabcacb,bc
abacabbbb,ab
bacbacb,b
bcabcabbacaba,bc
cabcabcabacababaca,c
cabcabcabcb,ac
abcabcabcabcaba,ab
cbacbaccb,bc
cbacabbab,bc
cabcababa,ac
bcabcabcabacabacaba,bc
acbacabacabaca,a
abcabbab,a
cbbabacacb,c
abcabcabcabacbb,a
bcabacabacbb,bc
acbacabacbba,a
cabcbb,ac
bcacab,b
bacbacbacb,b
acabacabacabacab,ac
cabbacbb,c
accacaba,ac
cbaccabacabb,c
abcbbaba,a
bacbaccacab,ab
abbacac,a
acacabaca,ac
cbabaca,c
cababac,c
cacabaca,ac
abcbab,a
acababacabaca,ac
cbab,c
acbacbacabacabaca,ac
acbacabacabacaba,a
ababacabaca,ab
bcabcabacababaca,b
cbacabbb,bc
acabacabacabba,ac
cbacbacabacabacacab,c
cabcabcabacabacabacab,c
acbacbacbacabacabaca,a
abbabacacab,ab
abcabcabcabc,a
bacabacabacbba,b
babaca,ab
bacabacabacabacab,b
bacbacbacbacbacbac,b
acbacbacbacbacabaca,ac
accabacabacab,a
acbbab,ac
bcabbacacb,b
bbacabaca,abc
bcababacaba,bc
cabacabacabacabacaba,c
cbacbaccbaca,bc
acababacabac,ac
cabbbb,c
cababacabacab,c
bcabcabcababac,bc
cabcabcabcabcab,c
cbacbacbaccab,c
bcacabac,b
bacabacba,b
abacababac,ab
cbacbacacab,c
abbacabacbb,a
bacbacbab,ab
ccabacabacab,abc
cabcabacabacb,ac
cabcabbacc,c
bcabacabacbaba,bc
acbacbacbacbac,a
abcabacacaba,a
abcabbacabacab,ab
abcbbb,a
cbacacabac,bc
cbacabab,bc
acabacacabaca,ac
abcabbaba,a
abcabacabacba,a
bacbacacabaca,ab
bcabacacbb,bc
ababacab,ab
bcabacabba,bc
acabbabac,ac
acbabac,ac
cabbacabacb,ac
bbbaca,b
acbacbaccaba,a
bacabacabacabacabacb,b
bbaccb,ab
abcabcabcabcab,a
bacbacbacbacbba,ab
acbbbac,a
abcabacabacabacaba,a
bcabacababa,bc
abbbba,a
cbacbaccacabacaba,c
acbbabacabaca,ac
abcabacabbb,a
acbab,ac
cabbacabacabaca,ac
cabacabacabacabacabac,c
abcabcabacabacb,ab
abbacacab,a
caca,ac
bacabacababa,b
bcaca,b
bacbab,b
abacacabac,ab
abbab,ab
acbacabacba,a
cbacabacabacbb,bc
cabbacabaca,ac
abcbabac,a
cabcabcabaca,c
cabcaca,c
bacbbaba,b
bacbacbacbacbac,b
bcabacbab,bc
cabacabacbba,c
ababacaba,ab
cbacbacabacabacabacabac,c
acbacbacbacbacbacabacacb,a
abcabcabcabacab,a
babacb,ab
ccabb,ac
cbabac,c
cbacbacbacabac,bc
abbacba,a
abcabcabcabcabcb,a
accbba,a
ccabba,ac
bcabcabacabacabab,b
bcababacb,bc
abcabacabacacabacabac,a
cabacabab,c
cabacabacabbba,c
cbacbbaba,bc
abcabcabacabacab,ab
abbacacaba,a
acbacabacabacb,a
bacabacbab,b
abacacba,ab
abcacaba,ab
cbacabacacba,bc
acbacbacbacbacbacbacc,a
abacabacbb,ab
bacabacabacabaca,b
abbacabaca,a
bbacabacab,abc
acabacabacabacb,ac
abcabacabacaba,a
bacbacabb,ab
bacbacbacacb,b
cbacabacacabacabacabacb,bc
cabacabba,c
cabcabcabcabacab,ac
cabcabacabac,ac
bacbacbacabacac,b
abcabcababac,ab
ababacabacabaca,ab
acbacabacbb,a
baccabacab,ab
abcabcababaca,ab
acbabacaba,ac
cabcbbba,ac
bcabcabbaca,bc
bacababacabac,b
bcabcabcabcb,b
acbacababaca,a
cbacbacc,c
acbacbacabacabacabac,ac
bcbaba,bc
bcbab,bc
cabacacabacaba,c
cbaccababac,c
bacbacabacabacabacabacab,ab
abcabcababacab,ab
abcabcabcabcabacb,ab
abacababacabac,ab
bacbacabacabacba,ab
abcabcacabacab,a
cabacacabaca,c
cbacababac,bc
cabcabcabcabacb,ac
cbacbacca,c
baccabaca,ab
abacabacacb,ab
bcabcabacabacab,b
cbacbacbacbaca,c
cabcabcabcababaca,ac
acbaccabacaba,ac
bacbacbaccab,b
cbacbacbaccba,c
bcabcabab,b
bacbbab,b
cabcabacabacabacab,ac
bcabacabacabacabacaba,bc
bcabcabcabcabab,b
bacabacabacabac,b
bcabcabbaccab,b
bcbaca,bc
abacbbba,ab
cacabacabacab,ac
acbacabacacab,a
cbacbacb,c
abcabcabacabacaba,ab
bcabcabacabb,b
cabcabacababaca,ac
cabbbabac,c
bacababacabb,b
cbaccabacabaca,c
bbacabacb,abc
cbacbacabacab,c
cabacacab,c
acabacabacabacacaba,ac
abcabbac,a
acabacabacabb,ac
acbbabacaba,ac
acbacabacabacab,a
bcabacabacacabacab,bc
cbacbabaca,bc
cabcabbacb,c
bacbacabacacab,ab
bcabcbabacb,b
cbacacabab,bc
cbacabacabacac,bc
bcabbabac,bc
cbacabacabacabacabacb,bc
bcabbacabacb,b
bacababacab,b
cbacacabacabacaba,bc
bacbabaca,b
cabbacabac,ac
bcabcabba,b
abcabacabacabacababacabacaba,a
abcabcbacb,ab
cbacbacbba,c
bcabbacba,b
acbacbaccabacaca,a
ababacb,ab
accabacaba,a
abacabacacacaba,ab
bacababaca,b
cacabacab,ac
cabacacabac,c
cacabab,ac
cabcabcabacabacb,c
babacabacba,ab
abcbaba,a
abcacba,ab
cbacbacbacbacbacabacabac,bc
bcabacabacac,bc
bacbacca,b
cbacababa,bc
cabcabacabab,ac
cabbabac,c
bbacabbb,abc
cabacbaba,c
acbacbacc,a
acabacabacabacba,ac
abcabacabba,a
cbacbacbacbacbacabacabaca,bc
bcabcbb,b
bbacbb,ab
abacabacabacb,ab
bacabacbb,b
abcabba,a
cbacbab,bc
cabbba,c
bcabcabca,b
bacbc,ab
bacbacbba,ab
acbacabacabb,a
accabacabaca,a
abcabacabab,a
acabacabacacabac,ac
bcababacabacabaca,bc
cababacababa,c
babacbba,ab
abcabcabb,a
bcabcabcabcabc,b
cbacbacaca,c
abbaba,ab
bacbacacba,ab
baccacab,b
abcabcabacabaca,ab
abcabcabacabba,ab
acabacababaca,ac
cababacab,c
cabacbab,c
cabacabacbacabacab,c
bcabbacaba,b
cbacacabacba,bc
baccac,b
acabacacba,ac
cbacacbab,bc
cabcabcabbac,c
bacabbb,b
cabcabcbacba,c
cabacababacab,c
cbacbacbacb,c
acabacabb,ac
accacab,ac
abbabacab,ab
cabbacba,c
cabcabacabaca,ac
bcabcabcababaca,bc
abacacabacaba,ab
abbbb,a
acacababac,ac
bcabbb,b
abacaca,ab
cabcababacabacaba,ac
bacbaccaba,b
cabcc,c
acbacabacababaca,a
abcabacbba,a
ccabbacaba,ac
cabcabacababac,ac
acbacabacaca,a
acbacbacabacba,ac
acbacabacabacba,a
bcbacaba,bc
abacababaca,ab
cbaccacba,bc
cacababac,ac
cbacbacacaba,c
bcbacab,bc
acbacacabaca,a
abbacbacab,ab
cabbbaba,c
cbacbacabacacab,c
abbacabacb,a
cbacabbba,bc
bcabcabcabacabac,bc
acbacbacacba,ac
bacabacacba,b
bacabacabbabacbb,b
cababacabacaba,c
cabbab,c
abcabcabcabcabcab,a
cabacababac,c
abcabacabacabacbba,a
acabacbacab,ac
cbaccabacb,c
abbacabab,a
baccabacabac,ab
bcabcabcabcba,b
accabacac,a
bacbacbacabacabacabac,b
bcabcababa,b
cababacba,c
abbabac,ab
acbacbacbaccb,ac
bacbacbacbacbacaba,b
acbacabacabacacaba,a
cabcabcabcabacaba,ac
bcabbacabacabacab,b
abcabbacabacaba,ab
cabacabacacb,c
abacabacacabaca,ab
bacabacabacabacabac,b
accabab,a
bacabbba,b
cbacabacac,bc
bacabacacaba,b
bacbacacbbba,ab
bacbacbacaca,b
abcabcabcabacaba,a
cbacbacabacabacab,c
cabcabacabacaba,ac
bacabacabacbbba,b
acbacbacca,a
abcababacab,a
acacbb,ac
cbbabaca,c
bcabcabbacab,bc
abcabacabacabacb,a
cbacabacacaba,bc
bacacba,b
cabacbabacabac,c
acabacabacabaca,ac
acbabacba,ac
bcbabaca,bc
abcabacabacabacab,a
cbacacabaca,bc
bcabacabacabacab,bc
bcabbacabaca,b
bacbacbacbacabac,ab
bacacbba,b
cabacabacabacabacba,c
abacabacabacabacab,ab
cabacababacabac,c
babacaba,ab
acbacbacbba,ac
accabba,a
abcabacaca,a
bbabac,ab
bcabcabcabb,b
bacbaccabacb,b
acabacababac,ac
cacabacaba,ac
abcabacabacabacabacabacab,a
acabacbaca,ac
cbacabba,bc
acbacababacab,a
bcabcababac,b
cabcacabaca,c
cabacabacbbbab,c
bbacac,abc
acbacacba,a
ccacaba,ac
cabcbabac,ac
bacbacbacbacca,b
abbabacabac,ab
cabcabcabcabacabacab,ac
bcabbba,bc
cbacbacbacc,c
cabcabcabcabc,c
cbacababacabac,bc
bcabacabacababaca,bc
abcabbacc,a
bcbbba,bc
cabcabcabab,c
abacbab,ab
acbacbacabacac,ac
bacbacbacac,b
bcabcabacabacaba,b
bacabacacb,b
acbacabacabacabac,a
abcacb,ab
bacbacabacab,ab
bacabacabacba,b
cbabacabacabacaba,c
abbabaca,ab
cabcbaba,ac
ababacabacab,ab
acbacabacabacac,a
acbacbacbacbacacabac,ac
cbacbacbb,c
cabcabcabac,c
cbacababacb,bc
acbacbacabacabacbb,ac
acbacbacb,a
bcabacabacabacaba,bc
acbacaca,a
acbacbacacabaca,ac
abcabacac,a
cbacbacabacaba,c
abbacabacba,a
baccabcba,b
acbacbacacaba,ac
abcabcabab,ab
cbacbacbacbba,bc
cbacabacacbacba,bc
acabacababa,ac
bcabcacaba,bc
bacabacbbabaca,b
abacabacabb,ab
abacabacabba,ab
bacababacb,b
bcbacabaca,bc
bcabacabacabacacaba,bc
abcabcabcabbaca,ab
cabcacabacacb,c
cbacacababa,bc
abacabacabacbba,ab
abcabcabacacb,ab
cabcabcabacabacab,c
cabacabbabac,c
bacbacbaccabac,ab
ccac,ac
bcabacaca,bc
abcabcabcabcabcabcabcabcab,a
cabcababacabb,ac
accabacabacaba,a
accabacacb,a
bbcbaba,bc
abacabacabacba,ab
acabacbbaba,ac
bcababacabacabacba,bc
acbacbaccb,a
bcabcabacacb,b
bcacabab,b
bacabacababac,b
cabcababacabacabacabacb,ac
acbaccacab,a
bcabcabcabacb,bc
cabacabacabacabac,c
cbca,bc
acbacacabacaba,a
acbacbacbacac,a
bbacacb,abc
bcabcababaca,b
bacabacbaba,b
baccbb,ab
cbacbacbacabacb,bc
acabacacababaca,ac
abcabacabacabaca,a
ccc,c
bcabacabbabac,bc
cabcbba,ac
bacbacacaba,ab
cbaccabacaba,c
bacbacabacabacabaca,ab
bacbaccabbaca,ab
cabcacaba,c
abcabcabcabcabcabacaba,a
abcabcac,a
abcacabac,ab
acabacabacabacabacba,ac
abcabcababa,ab
cacababaca,ac
bcabcabcabacba,bc
abacabacabacbabacb,ab
cabacabacabacab,c
cabacabacabacabacb,c
bcabacababac,bc
acabbab,ac
cbaccac,bc
acabacabacababac,ac
cbaccabaca,c
bcabcabcabcabcaba,bc
cabbabacb,c
bacbacabacba,ab
cabacacaba,c
baccabcaba,b
acbacbacbacaba,a
acabacabacac,ac
acbacabacac,a
accabacbb,a
bacbacabacabacb,ab
baccacb,b
acacabacaba,ac
acabacabab,ac
abbacabacabacabacabab,a
abcabcabbac,a
acbacbacabacab,ac
cccabacabaca,c
cabcbab,ac
cccb,c
cbacabacabacba,bc
cabacacabacb,c
bcabacababacabac,bc
accabacacab,a
abcabacacb,a
cabcababacabacbb,ac
abcabcabcabcabacaba,ab
cabacababacbba,c
acbacbacbacabaca,a
cbacabacabb,bc
abcacabacabac,ab
cabbaba,c
abcbacb,a
cabcabcabacba,c
ababacabacb,ab
abcabacababac,a
acbaccabaca,ac
bcbabacabac,bc
abcbc,a
acabbb,ac
bacbacbbab,ab
abcabacabb,a
cbcac,bc
cbacabacabacabacabac,bc
cbacbacbacbacbacbacabac,c
ccabab,abc
abcabcabcba,a
ccacbb,ac
bcabcbaca,b
acabacabacabacabacabacbb,ac
cbacbacbacbaccba,bc
cacabac,ac
abacabacbacba,ab
cbacababacba,bc
abcabcabcabcabcabac,a
cabcabcabacababac,c
acbaccacabaca,a
acbacbacabacabac,ac
bcabcabcabcabacaba,b
bacabacabacac,b
acbacbacbacbacbaca,a
bacababacabacacaba,b
acbacbacbacbba,a
cbacacabacabaca,bc
ababacabab,ab
cabcabacabacabacabacabacaba,ac
cababacabacabacabaca,c
abcabcabcabcabcabcabacab,ab
bacabacababaca,b
acabacabacacabab,ac
babacaca,ab
bcbacabacab,bc
acabacabacbba,ac
cabcababacaca,ac
acabacacabac,ac
cbbbacab,bc
cbacbacabacaca,c
bacabacabacabacaba,b
accababa,a
ababacabacba,ab
bcabbacacabacaba,b
abcabcbacabacb,ab
accabacba,a
abcabcabcabcabcabcab,a
cababacabaca,c
abcababacabacabacaba,a
cabacbacaba,c
acabacabacabacaca,ac
bcbacabacac,bc
cccabac,c
abcabcabcabacb,a
abcabcabacabacac,ab
bbbacabacb,b
bcabacacabacab,bc
bacbaccac,ab
accabacabacbba,a
abacbacabacabacabac,ab
baccaca,b
acbcabaca,a
acbbba,a
bacababacabacab,b
cbacbacabacacaba,c
cabcabcabacabac,c
abbacabacabacaba,a
bcabcabcabcabcabacaba,bc
ccabcab,ac
acabacababacaba,ac
cbacabacaca,bc
acabacabacabacbba,ac
cabcabacabacacab,ac
acbbb,a
bbbb,b
cbacababaca,bc
bcabcabacbb,b
cababacaca,c
bcabacababaca,bc
acabacabacabab,ac
cbacacabacabac,bc
acbacbacbacab,a
acbacbbba,a
cabacabacabacabacabacaba,c
cabacabacababa,c
cabcabacabacabaca,ac
acbacacbb,a
ccbcac,bc
acacabacac,ac
cbacabacacabaca,bc
cabcabacabb,ac
acbacbbbba,a
bcabacabacabab,bc
abcbacaba,a
abacabacabacabacabacacba,ab
acbacabbbb,a
ccacb,ac
abcabacababacaba,a
abacababacabacab,ab
cbaccacb,bc
accababacbb,a
abcbaca,a
cabacabacac,c
abcabcabcabbac,a
bacbabac,b
bacbacbacacab,b
cabacabacabacabacabacab,c
cbacabacacabac,bc
bcabcabcababacabacac,bc
acbacabacacb,a
bacabacabacacab,b
cbacabacabacabacabacababa,bc
baccbba,ab
bcbbaba,bc
cabcbbab,ac
ccbacab,bc
abcabcabcababaca,a
baccabacb,ab
acbacbacbaccab,a
babacabaca,ab
bcbabacab,bc
acbacbacbacacaba,a
cababacbba,c
bacbacabacabacabac,ab
acbacbacbb,a
abcabcabacabacabaca,ab
cbacbacabba,c
bbacabb,abc
bacbaccabac,b
abacabacbacbba,ab
bcbbab,bc
cabbacabacabacabacab,ac
abacabacacaba,ab
bbbac,b
bacacbacabaca,b
abbacabacabac,a
cabacababaca,c
ccabca,ac
cabacababa,c
abacabacabacac,ab
abacabacababacab,ab
abcabcacaba,a
abcabbabacabac,a
bacababacabacabaca,b
bcacabaca,b
accacabaca,ac
cabacabacabacbb,c
acbacbacabacabacaba,ac
bacbbb,b
cabacabacabab,c
abbacababaca,a
ccbacabac,bc
bcabacabbb,bc
acabacabacacab,ac
cbacacbb,bc
bacbacbacbacbaccb,ab
cbacbacabacbba,c
abcabacabacbba,a
abacabacabacabacacabaca,ab
acbacbaccba,a
abacacabacab,ab
bcabcabcabaca,bc
acbacbaba,a
cabacabacabb,c
bcababacabaca,bc
acbacbacaca,ac
bacbacabacacb,ab
