Word (in Normal Form), Descents
acbabac,ac
acbacabaca,a
abcabcabacabac,ab
abcabac,a
abbac,a
cbacbacbac,c
bcabcabac,b
bcabcabacabacaba,b
acabaca,ac
abacaba,ab
cbacacb,bc
cabacabacab,c
cabbac,c
abacababac,ab
ccabacb,abc
abca,a
bab,ab
abcabcabc,a
cabacacabb,c
abacabacb,ab
bb,b
acca,a
cc,c
bacbacbacabac,b
abacabacba,ab
bcabcabcab,b
acbacbacbaca,a
bacabaca,b
acbacbaca,ac
cacaba,ac
bcabcabcabacab,bc
ababa,ab
cabcabcaba,c
acbabacaba,ac
cabacabacaba,c
bba,ab
cabcabcabacabacabac,c
acbacbacbacbaca,ac
cbacbacac,c
bacba,b
cbacbacab,c
bcababaca,bc
abcabbaca,ab
cabb,c
acabacabacaba,ac
bacbba,b
cabacabacacb,c
abcabaca,a
bacbacca,b
baccac,b
acbacb,a
abcbba,a
cbacb,c
acbacabacabacabacacabac,a
abbacab,a
bacbacab,ab
cabcabb,c
cabcabaca,ac
abb,a
acbacbba,a
bcabacababac,bc
cabcabcb,c
acbacabac,a
abba,a
bcabcababac,b
acbacbacabaca,ac
acabacb,ac
cbacbacb,c
acac,ac
cbacabacba,bc
cbacacabaca,bc
cababacaba,c
abacbb,ab
acabba,ac
cbacabacacaba,bc
bacbacbac,b
acacbab,ac
cbacababaca,bc
bcabcabacabbba,b
cbabacabaca,c
acbacaba,a
acbaccba,ac
cabbaca,ac
abcabcab,a
babacaca,ab
cbab,c
cabacba,c
bacabacaba,b
cabcabacabacba,ac
bcabacba,bc
bcabacabac,bc
baccabaca,ab
bcabcabbaca,bc
abcabc,a
bacacba,b
ccab,ac
abacababaca,ab
ccba,bc
bacbacabac,ab
bcbb,bc
baccabac,ab
abacac,ab
acacab,ac
acbacbacab,ac
cbacabacabacb,bc
cacab,ac
cbbaba,c
acabb,ac
acababacaba,ac
bacca,b
cabacabac,c
bcabbac,b
cabacac,c
bcabcabcaba,bc
acababa,ac
bcabacacb,bc
cabacaca,c
cbacacbb,bc
abacabacabac,ab
cbacabacabacab,bc
acbba,ac
bcabacacaba,bc
bacabbba,b
acbacc,a
cabcabacabacaba,ac
cabcacab,c
acbbbac,a
baccab,b
cbacababacabacbba,bc
bbac,ab
cabcabacabac,ac
cabacabacbba,c
abacabacacab,ab
bacbacabacabac,ab
cbacbaccba,bc
bacbb,b
abbacbaca,ab
cabcabacabaca,ac
acacabb,ac
bcbba,bc
abbacabacabacabaca,a
cbaccabaca,c
ccaba,abc
bacabacba,b
abbacb,a
abcabacabaca,a
abcabb,a
abcabcabacabacabacabacb,ab
acbacabacb,a
acbaccb,ac
cbacbacbacab,bc
bcabcabcabcaba,b
bacabacabacabac,b
bbaba,ab
bacbacbaccb,ab
cabacabacabacab,c
cbacbacacabacaba,c
bacbacabacab,ab
cbaccabac,c
abcabacabacabac,a
cabbacab,ac
cbacabacb,bc
cabbacabac,ac
cabacabba,c
ababacabacb,ab
bcabcabcb,bc
accb,a
acabacabacabaca,ac
abab,ab
abacabacab,ab
cabcabcabbaca,ac
bcabacabacab,bc
cbacbacabacabacb,c
cabacabab,c
cabcba,ac
cabcabc,c
bcabacabab,bc
cac,ac
abcabcabacb,ab
cbacc,c
bcabcabacabacab,b
bbacaba,abc
bacabacaca,b
cbacababac,bc
bcabbabac,bc
bbacabac,abc
bacacab,b
bcabba,b
cacabacacaba,ac
bacacaba,b
bacbaccb,b
acbacbb,a
acabacabacba,ac
acbacacaba,a
cbacabacaba,bc
cbacbacabacabaca,c
cbba,c
bcaca,b
cabab,c
accabac,a
abcabacabac,a
cbacbba,bc
bacacabaca,b
acbacbacbba,ac
baccba,ab
acacaba,ac
abcabcbacb,ab
abacabab,ab
ccabac,abc
abcabbac,a
acbacbacaba,ac
cabcabcabcaba,ac
cabcabcabac,c
bcabcabcabcab,b
abacabacabacb,ab
bcabca,b
bcababacabaca,bc
bbb,b
bcabcacb,bc
bacbacbacbaca,ab
accab,a
accabacaba,a
cacb,ac
abcabcabcabcab,a
abcababacab,a
abcababa,a
baccabacac,ab
bcabacabb,bc
bacabacbba,b
acbacabacac,a
bacbab,b
bacbaccaba,b
bcabcabb,b
accabacb,a
cabacabb,c
cbacabacabaca,bc
bacababacabaca,b
bacbacc,b
cabacabacabacabaca,c
bacbaccba,b
acacba,ac
bbacab,abc
acabacbb,ac
acacb,ac
cabacabacabacb,c
bacbabaca,b
bbacca,ab
cbacbacbacabac,bc
acabacabacabacba,ac
acbacabacabac,a
bcababacabac,bc
cabcabba,c
cbacabbabac,bc
bcbabacabac,bc
bcabcabacba,b
cbacbb,c
cbaccaba,c
abacabba,ab
cbacabacabacaba,bc
acbaccaba,ac
bcababacaba,bc
accba,a
abacabacababa,ab
bacbacbacbacabaca,ab
bcabacababacab,bc
bcabcabc,b
baccabacabaca,ab
cabacbb,c
cbacbaccb,bc
cbacbacbacabaca,bc
bcbab,bc
abacabacabacac,ab
acabacac,ac
bacabab,b
bbacababa,abc
abcabcabacaba,ab
bbacb,ab
abcabbacab,ab
abacabacabacabacaba,ab
cabcabcabc,c
bacbacabacaba,ab
abcabcabac,ab
acabab,ac
babaca,ab
acacabac,ac
bcabacabacaba,bc
bcabcabbba,b
ccbc,bc
acacabacab,ac
cabcabacabba,ac
acabacabacb,ac
cabbabac,c
abcabcabacabacaba,ab
bcabacabacba,bc
bacabacac,b
cbacabacab,bc
acbacacba,a
caca,ac
abcabacba,a
acacabaca,ac
bacbacabaca,ab
bbba,b
acabacabacabac,ac
bcabcabacabac,b
cbaba,c
ababacb,ab
accacb,ac
bacbaccab,b
cabacabacba,c
cabacabacacaba,c
bcababa,bc
cabcabcab,c
cbacabacabac,bc
bacbacababac,ab
bacabacbb,b
cabcabca,c
bacabba,b
abbacacb,a
bcabbb,b
acacabacabaca,ac
bcabcabcababac,bc
bbaca,abc
bbacabba,abc
cabcbba,ac
bacabacacabaca,b
acbbba,a
cabcabcabacaba,c
bacbacbacbba,b
abbaba,ab
abcababac,a
cbbabacaba,c
abcabbba,a
cabcabcabacab,c
bacacabb,b
cbacbaba,bc
babac,ab
cbacbacabaca,c
abacacb,ab
bcabbacab,b
baccabacb,ab
cabcabcabcb,ac
cbaccab,c
cbacbacaba,c
cccab,c
bacabacabacaba,b
cbacbaccaba,bc
baccabacaba,ab
acbaccab,a
abacabacabacab,ab
acbacabacab,a
abacabacacb,ab
cbacabacabacabaca,bc
abcabcabacab,ab
abacababacabacabbabacaba,ab
bcabcabacaba,b
acacabacb,ac
ababacabaca,ab
abbacabaca,a
abbb,a
abacacba,ab
bacabacabacba,b
cbacabacac,bc
cabcabcabab,c
abcbacaba,a
abacacab,ab
accabacba,a
cabcabacba,ac
acbacabacabacb,a
bcabcabacb,b
cabcabacb,ac
acbaccabac,ac
acbaccabaca,ac
accabacabaca,a
abacacabac,ab
abacacabacab,ab
cbabac,c
bacbcaba,ab
cabbacabaca,ac
cabcabbaca,c
abcabacabacab,a
cabbacac,ac
cbacacab,bc
cabacabacb,c
bcabcabbac,b
bcabcabcbac,bc
cbacacba,bc
bcabacacba,bc
abcabcabcabacabacb,a
cbacbacbacac,bc
cbacacaba,bc
bcabcabcabac,bc
acabacbba,ac
cabacabacabac,c
acbacbacbacbacbac,a
cabcacabacabacab,c
bacbacabacba,ab
cabcabcba,c
accabb,a
acacbaba,ac
abcabcabcab,a
accbba,a
abcabacabacbb,a
acbacbacbac,a
cbacabb,bc
acabacabacabacab,ac
bcabacabacb,bc
baccabacabacabaca,ab
accabacac,a
cbacbacbacbac,c
cacba,ac
abcabcabcabcabc,a
acabacbabaca,ac
cbacabacbba,bc
abcabcabacba,ab
bacbacbaccba,ab
acbacbaccabacba,a
cbacbaccab,c
acbacbacac,ac
acababac,ac
babacabac,ab
cbacacabac,bc
bcbacb,bc
abacabacabaca,ab
abacbba,ab
bacababacab,b
abbacabacab,a
ccacb,ac
abacabacbaba,ab
bcabcbb,b
cabcabab,ac
bcabacabbb,bc
cbacbacabacabac,c
bacbaccabac,b
cabacbba,c
bacabacabacb,b
ccabacab,abc
cacabac,ac
bacbacaba,ab
cabcabcabacb,c
bacabacabacaca,b
acbacbacc,a
cababac,c
bacbacabacacba,ab
bcacb,b
acbacabacacab,a
abacababacaba,ab
cabcababa,ac
cbacbacabacab,c
bcabbacabacaba,b
bcbaba,bc
acbacacab,a
bacacabbb,b
bacacabacabac,b
cabcababacb,ac
bacbacbacaba,b
accabacabacacab,a
bacacb,b
ababacab,ab
cacbb,ac
babacbb,ab
cabacacabacaba,c
abcabcabcabacabacabac,a
abacaca,ab
cabcac,c
abacababacab,ab
cabcabbac,c
acbacacb,a
bacabacababac,b
bcabcababacabac,b
bacbacbacc,b
bcabcac,bc
abbacba,a
acababacab,ac
bbbacabba,b
baccacb,b
cbacabba,bc
cabacabacabacabacab,c
abcabacaca,a
abbacac,a
acbacbaccaba,a
bbbacaba,b
acbacbacbacbac,a
bcabbacb,b
cbacbacba,c
acbacabacabacabacb,a
abcabcabbaca,a
bcabcabaca,b
bcbbabacabac,bc
abacabacacaba,ab
bacbacbacbacabac,ab
bacbbba,b
bacbacabacbba,ab
accbabac,a
cbacacabacab,bc
abacabacabacaba,ab
acbacacbb,a
cbacbacabac,c
bcabcacaba,bc
acbacabab,a
cbacbacc,c
accabaca,a
cababaca,c
abcabcabab,ab
acbacca,a
bcababac,bc
bacbacba,b
abcbabaca,a
abcabcabbac,a
abcabcabaca,ab
acbacac,a
cababacac,c
abcbac,a
acbacbacbacab,a
cabbabacabac,c
abcac,ab
abbabacabac,ab
abcabbacb,a
acabacababacab,ac
ccabacba,abc
cbabacabac,c
accabacacaba,a
bcabbacacba,b
baccabacabacab,ab
bbacba,ab
cabbacaba,ac
cbacabab,bc
acbacbacbacabac,a
cbacbacbacbacbac,c
abacababacabab,ab
bacabacabb,b
abcabacabacabacaba,a
cbacbacaca,c
bacababa,b
abbacacabacb,a
cabcabcabcabacab,ac
acbbaba,ac
cbacbacacaba,c
bcbabaca,bc
cabcabcababa,c
acababacabacabacabaca,ac
abacabacacbb,ab
bacabbab,b
bcacabacabac,b
cbacabacabba,bc
cbacabacabacabac,bc
cabcabbb,c
baccbac,ab
bcabacbba,bc
bacbacbba,ab
cbacbacacab,c
abcbab,a
abcabcabcabac,a
cbabacba,c
abbabaca,ab
bcbac,bc
abacabacabba,ab
acacabacba,ac
cabcbab,ac
bacbacabacabaca,ab
acabacabb,ac
bacacabacbb,b
abacacabacaba,ab
cbacabacabacabacabaca,bc
abcabcabcabacabacab,a
cacabacab,ac
cababacb,c
abacbab,ab
acbacacabacba,a
abcabcabcb,a
abbba,ab
cbabacaba,c
cabacacabacabacabac,c
cabcabacabacb,ac
bacbacbacacabac,b
acabacacabac,ac
cabbacbb,c
ccabacaba,abc
bcabcabcba,bc
abbacabacabac,a
cbacacbacaba,bc
abbacabac,a
cabcabacabacab,ac
abcabacabacba,a
bacabacacb,b
cabcabcabcab,c
cbacbab,bc
bacbacacabaca,ab
acabacabacbaba,ac
cabacacabacabaca,c
bcabacbabac,bc
cabbba,c
abcbabacab,a
bacbacacbba,ab
acabacabacacabac,ac
ccabaca,abc
abacbaba,ab
abcababaca,a
abbab,ab
accaca,ac
acbacbacabacab,ac
cabcbac,ac
acbacbaba,a
cabacacba,c
cbbbacaca,bc
bacbacabacaca,ab
ccac,ac
abcabacacba,a
cbacacabacabacaba,bc
abcabab,a
cbbbacab,bc
ccacaba,ac
cbacabacabacaca,bc
abcaca,ab
bacbacbacba,b
bcabacabacabac,bc
cbacacbba,bc
bacabacabacabaca,b
acbbab,ac
bcabacabacabba,bc
bcac,b
cbacbacabacac,c
bcbbaba,bc
ccabca,ac
bacbacabb,ab
bacacabacb,b
abcabacbaba,a
cbacabacabacba,bc
ccabacabaca,abc
ccbacaba,bc
cbacbacbacabacabaca,bc
cbacbacbacbaca,c
acacabacabacb,ac
bcababacabacb,bc
bacbacbacaca,b
baccabacabacaba,ab
acbacabacabb,a
babacabacabaca,ab
bacbacabacbabacaba,ab
bbacc,ab
acabacaca,ac
acbacbacbaccabbaca,a
bacabacabacabacab,b
accacba,ac
cabacabacac,c
cabacababacabac,c
cabacacb,c
abcabacabacabacababacab,a
acbacbacb,a
cababacab,c
bcabacabacabacb,bc
bcabbba,bc
abcabcabacabacab,ab
cabcaca,c
babacabaca,ab
acbacbacabacacaba,ac
abacbacaba,ab
bbabacb,ab
bcabcbab,b
bcabacababa,bc
bcabacbaca,bc
abcabcabacabacb,ab
abacabacac,ab
acbacbacaca,ac
cabcabacbba,ac
cbacabacacab,bc
cabcbb,ac
bcabcaca,bc
cabbacbbab,ac
bacbacbacabacabac,b
baccabacab,ab
bcabcabacabacabac,b
acbacbaccab,a
acbaccacaba,a
abacabacbba,ab
abcabcabacababaca,ab
abacabacabbba,ab
acbacbacbaccab,a
abcababacaca,a
bacbacbacabacabaca,b
ababacba,ab
abcabcabcabacab,a
bcabacacabacabacabab,bc
cbacbacacb,c
bacbacbaba,ab
bacbacbacbacbaca,b
abcbbaba,a
acbacabacabacabac,a
cbbb,c
ccc,c
abcabbacc,a
acbacabacbba,a
bcabcabcbba,bc
ababacabacabacabac,ab
bcabcabab,b
cabcbaba,ac
bcabcbacb,b
bacabbabac,b
accbb,a
abacabacabacba,ab
acacbb,ac
bcabcababa,b
cabcababac,ac
cabacababac,c
cbacabacabacabba,bc
cbbba,c
cbbabac,c
cbacbacabab,c
cbbbaca,bc
acbaccabacab,ac
acbacbacbb,a
baccaca,b
bcabacbbb,bc
acabacacab,ac
bacbacbacbaccb,b
acbacbacba,a
cabacabacabacabac,c
bacabbabaca,b
acababaca,ac
bcabcabcabacba,bc
cababacabacabba,c
acabacabacacba,ac
ccca,c
bacabacacaba,b
bcabbacabac,b
cabacabacabacaba,c
cbbabaca,c
bcabbacbb,b
abbabacaba,ab
acbacbacca,a
ccbcabacab,bc
bbab,ab
abcacabac,ab
acbacacabacb,a
acbacbacacb,ac
cabacabacbb,c
abcabacabacaba,a
abacabacaca,ab
cabcabcabbac,c
ccbac,bc
acacabacacb,ac
bcbacabacab,bc
acbacabbabac,a
bacbaba,b
abcabcabcba,a
accabacabac,a
abacabacbb,ab
cbabacabacab,c
cbacabacabacabacabacab,bc
cabacbabacabac,c
cabacababaca,c
abcabba,a
cbacabacbb,bc
ababacabacba,ab
cbacbacbba,c
acabacabacabacabac,ac
acababacabac,ac
bcabcabbacabacab,bc
abacababacbb,ab
accababacabac,a
cbaccabacabacba,c
cbaccabacba,c
baccababa,ab
cbacbacbacacaba,bc
ccbacabac,bc
cababacabacabacabac,c
cabcabacabacababac,ac
acabacababa,ac
bcabcabba,b
cabcababacaba,ac
bbacabab,abc
abcabacababacaba,a
acbacabacabaca,a
acbacbaccb,a
acacabba,ac
cabbacba,c
acbacabacba,a
acabacabba,ac
babacac,ab
abcacaba,ab
cabbb,c
bacbacbacacab,b
acabacacabaca,ac
cccaba,c
bacbacac,ab
abcabcabcabcabacaba,ab
acbaccabacabaca,ac
acbacbacbacbacbaca,a
cbacabacbbb,bc
cabbacb,c
bbabac,ab
cabacacabacabacabacab,c
bacbacabacac,ab
abcabacabacabacab,a
cabcababaca,ac
ababacaba,ab
acacabacabacbba,ac
accabba,a
abacababacabac,ab
bacbacbacbacc,b
abcbbba,a
bacababacaba,b
bacababac,b
acabacacb,ac
abacababa,ab
abcabacabacabba,a
ccaca,ac
bcabbacaba,b
acacabacaba,ac
abcabcabcabacb,a
abcabcabacbba,ab
bcbabac,bc
bcabacabacabacbba,bc
cabcabcabacabacb,c
abcacabaca,ab
cbacabacacb,bc
bacbacbacacaba,b
abacabacabacabac,ab
bacbacbacab,b
bbca,bc
bcabcbbb,b
cbacbacabacabacabac,c
bcabacabba,bc
baccabacabacacb,ab
acabacabacacab,ac
abcabcabcabc,a
abcabcabcabca,a
baccbba,ab
abacbac,ab
bcabcabcababaca,bc
bcabacabacbb,bc
cbacbacabba,c
bcabbab,bc
bcabacabacabacba,bc
acacabacabacab,ac
cababacabacabacab,c
bacbacbacbacbaccb,ab
cabcbacaba,ac
cabcabcabacabac,c
acabacacaba,ac
acbaba,ac
abcbabac,a
abacacaba,ab
acabacabacabba,ac
acbacabacabacab,a
bcabacabacabacabac,bc
bcabcabacabaca,b
abcabcabacac,ab
acbacbabacabacabacaba,a
cabcabcababaca,c
accbac,a
acbacabacabacabacab,a
acabacabacac,ac
bcabacabacabacaba,bc
bcacab,b
cabacacabaca,c
bacbacbacabaca,b
bacbacabacabacab,ab
acabacabacabb,ac
acbacabacacba,a
acabacabacabacabacab,ac
babacaba,ab
bcababacab,bc
cbacabacaca,bc
acabacabacababac,ac
babacab,ab
abcabcabcabcaba,ab
bacabacabacabacaba,b
bcabcabcabacb,bc
cabcabacababac,ac
bacabacabba,b
acbacbbabac,a
cabcabacabacabac,ac
cabacabacabacba,c
bacbacabacb,ab
bacababacabb,b
cabcabcabb,c
bcabacabacabaca,bc
bacbacbacbb,b
acbacacabac,a
acbacbacbacbacbacacaba,a
abcabcacaba,a
cababacabac,c
bacabacabacabacbb,b
bacabacabacabacacab,b
bcabcabcabcabc,b
bcabbacba,b
bacbabac,b
bcabacbacabac,bc
bbbaca,b
cabcabcabacabacaba,c
cabacbabac,c
cabbacabacab,ac
bacbacabacabacaba,ab
accac,ac
ccbba,abc
cbacbacbacbacacab,c
cabcacba,c
cacabacacabacaba,ac
baccabacabacabacababacabacab,ab
bbacabacb,abc
abcabcabcabcb,ab
bacbacbbbac,b
bcabcabcabacabac,bc
cabcabcabcabcaba,c
bacabacabacabacb,b
cabbab,c
accbacba,a
cbacbacbaccb,c
bacacabacaba,b
abbacabab,a
abcabcababac,ab
cbbabacabacb,c
bcabcabcabcabacaba,b
bcabacbb,bc
bcabacababaca,bc
abcabbacaba,ab
bcacabac,b
cabcbacb,ac
bcbaca,bc
cabcabcabcabcabcab,c
acbacbacbacc,a
cbaccacb,bc
acbab,ac
bcabacabacabab,bc
bcababacababac,bc
abcabacabacabacababaca,a
bacbacabacabacacba,ab
cbabacabacba,c
cbaccabacaba,c
abcababacaba,a
cabacacaba,c
bcabcacabacba,bc
acbacbacabacabac,ac
baccababaca,ab
ccbabacb,abc
bcabacabacacabac,bc
abcabcabcabacaba,a
acbbbacabac,a
abcabcabcabcabcaba,a
bacabacabacacb,b
abcabcababacacab,ab
acabacabacaca,ac
cabacabacacababaca,c
acbacbacbaccb,ac
cabacbacab,c
bacbacacabacabba,ab
cabcabcabcabcab,c
ababacbb,ab
cbacabacabacabacababac,bc
acbacabb,a
baccabacaca,ab
cbabacab,c
acabbabac,ac
cabbacababacaba,ac
abcabcabcabcabacab,ab
bacbacbacb,b
abcabacababac,a
bcabacababacabaca,bc
cabcabcabaca,c
cabcabcabcabacb,ac
cabcabcabca,c
cbacbacbacacba,bc
acabacabacabacabba,ac
acabacababac,ac
bacbacacabacbba,ab
bcabacacab,bc
abcabacabba,a
babacbba,ab
acabacabacabacb,ac
acabacabacbb,ac
acbacacbac,a
abcabacacbac,a
cbaccbac,c
cbacababacaba,bc
cbaccabacb,c
abcabbacabacaba,ab
bacbacbacbacacaba,ab
cabacabbb,c
bcabcbacbb,b
abacbacb,ab
baccacabac,b
bcabacac,bc
cbacabacacba,bc
cabcabacababaca,ac
cbacacabacabaca,bc
bcabcacabacb,bc
bacabacababa,b
babacb,ab
cabacabacabacabacabacb,c
acabacacba,ac
cbaccac,bc
cabacacabacabacab,c
bacbacacb,ab
cbaccabacab,c
bcbacababa,bc
acbacacabacaba,a
bcbabacab,bc
acabbb,ac
bacacbba,b
abcabcababa,ab
cabcabacabacacaba,ac
cacabacabacab,ac
accababac,a
abcabcababacaba,ab
acbacbabac,a
bacbacaca,ab
bcabacabacaca,bc
bcabacbacab,bc
bcbacab,bc
acbacabacbb,a
bcabcabcabacaba,bc
bcabcabcabc,b
bcabcababaca,b
cabcabcabcabbaca,c
cacabacaba,ac
cbacabacabacabacabba,bc
bacacabac,b
acbacabacabacaba,a
cabacababa,c
ababacabacab,ab
cababacabacacababa,c
cabacacab,c
accabacabacba,a
cbacbacbb,c
bcabacbacaba,bc
abcabacac,a
cabcabacabb,ac
acbacbacacab,ac
bcbbabaca,bc
acbbbab,ac
acbbabacabac,ac
cacabacb,ac
acbacbacbacacab,a
bcabacaca,bc
cabcabacacb,ac
bacabacabacbba,b
acabbbba,ac
baccabb,b
cabcabbacabacabac,c
cbacbacabacabacab,c
bcabcabcabbac,b
abcabcabacabb,ab
abcabcbb,ab
bacababaca,b
cabacabbbab,c
acababacb,ac
bacbacbacca,b
bcabcabacabacba,b
cabbabacaba,c
abbacbba,a
bcabcabbb,b
bacbacacbacabac,ab
abcacabba,ab
bcabcabcabcb,b
cabcacaba,c
cccacb,ac
acacbba,ac
baccacabacab,b
abcabcabacabacabacab,ab
abacbbba,ab
cbaccabacabacaba,c
bbbac,b
acbacabacabacabacba,a
abcabacbba,a
bacabacabacabacabacab,b
cababacabacacab,c
abacabacabacabaca,ab
abcabcabcababaca,a
ccabab,abc
bcabacabacac,bc
cbacbacabacaba,c
cbacabacabacabacab,bc
abcacab,ab
cbacbacababacabaca,c
bcababacbb,bc
cbbbac,c
bcabacabacacba,bc
cbacbbab,bc
bacbacabacacb,ab
bcabacabacabacabacabaca,bc
cbacbacabacabacabacabac,c
bcabcacabacab,bc
abcabacabacabacabaca,a
cbaccababac,c
cabacababacba,c
cbacabacabacabacba,bc
cabcabbacab,c
bcabcabbacb,b
acabacabbba,ac
acbacabacabacabaca,a
cabcababacba,ac
bacbacacabacaba,ab
bbbacab,b
acabacabacacb,ac
acabacbacb,ac
cbacbacbacc,c
bacacbacaba,b
cbacbaccbacabacabacab,bc
acababacabaca,ac
abbbabac,ab
acbacacabacabaca,a
cbacbacbacbacabaca,c
bacabacababacacab,b
bacabacabacababa,b
acbacabacacabaca,a
cabacabacacab,c
cbacbbb,c
abcabcabcabacabacabacb,a
bacbacbb,b
cbbbacabacb,bc
abacabacbacabacab,ab
abcabcabacabacba,ab
cacabaca,ac
acbabaca,ac
cbacacabb,bc
abcabacabacabaca,a
ccabacabacaba,abc
bcbacaba,bc
ccacabacab,ac
acbacbacabacac,ac
cabcabacabacabacab,ac
bcababacb,bc
cabcabcbba,c
cabcabcabcabcabacab,c
bcabbacacab,b
cbabacabacabacaba,c
ccbb,bc
abbacabb,a
bacabbaba,b
acabacabacabacabacaba,ac
cbacabacacabacac,bc
bbacbb,ab
abbacabacabacacabab,a
acbacbacacabac,ac
bacbacacabac,ab
cabcabcabcabcbac,c
abcbaca,a
cbaccabacabaca,c
cabcabcabcababac,ac
cbacabcacb,bc
bacabacabbabac,b
abcabcac,a
abcbacababacabaca,a
cbacbabac,bc
cabcabacacabac,ac
bbacaca,abc
acabacabacabab,ac
bacabacacab,b
bacbacbaccac,b
abcacabacabac,ab
acacabab,ac
bacbbbac,b
abacabacababaca,ab
abcabbacba,a
acbacbacabacaba,ac
bbacbacab,ab
acabacabbb,ac
acbaccabc,a
cabacabacaca,c
bacabbb,b
cabcbabacabacaba,ac
ccabacabacab,abc
cababacacb,c
abacabacacabac,ab
cabcabbabacaba,ac
bacbacabba,ab
cbacbacbaccab,c
acbacabacabacabacabacac,a
acbacbacabacabacabaca,ac
bcababacacabac,bc
bacacabacac,b
bacbacabacacab,ab
acabacababaca,ac
bcabcabacacaba,b
cccacaba,ac
cabacacabac,c
cabacabacabacabab,c
bcbbba,bc
bcababacabacab,bc
bacababacbb,b
cabcabcabacabacab,c
bacbacbacbacaba,ab
acbaccacb,a
bacbacbaccaba,ab
bacbacabacabacabacaba,ab
ababacabacacab,ab
cbacabacabb,bc
abacabacbbba,ab
abcabcabcabcababacaba,ab
acbaccbabacabacb,ac
baccacaba,b
abacabacabacabacab,ab
cabacabacababacabaca,c
cccba,c
bcabacabacabacabab,bc
abacabacabb,ab
ccbaba,abc
abacabacacba,ab
baccbb,ab
bcbabacaba,bc
ababacac,ab
bacbacacaba,ab
bacbacbacbacbac,b
bacbacbaccab,b
bcabbabacaba,bc
abacbbab,ab
cabcabcabcabacaba,ac
cccabacb,c
bbacabacba,abc
cababacacba,c
bacababacabba,b
cbacbacabacb,c
bacbbabac,b
cabcabcabacabacabacba,c
accababaca,a
acacabacabac,ac
bacabacabacabacabacabaca,b
bbacacb,abc
bcbbabac,bc
cabacabbba,c
cbacbacabacacabacaba,c
bacbacbacbacb,b
acabacbbab,ac
ccbacab,bc
abacabacabacabacbb,ab
abacabbabaca,ab
cababacabaca,c
cbca,bc
ccabacacab,abc
bcabcabcabacabacab,bc
bcabacabacabacac,bc
babacabacabacbb,ab
cbacbacbacbacbaca,bc
abcabacbab,a
acbacbacabacb,ac
acabacbab,ac
abcabacacab,a
abacacabaca,ab
cabacabacbbab,c
cabacbac,c
bcacabacbb,b
acbacbab,a
cabacabacabacabacabacabacab,c
cabcabcabacabb,c
accacab,ac
acabacabacabacabacb,ac
cabbaba,c
acabacabacbac,ac
acabacabacabacaba,ac
cbbbacabacab,bc
cbacabacabacabacac,bc
cbaccacaba,bc
bacbaccbabac,b
abcabcabcabcabcabcb,ab
bacacabacababa,b
accacaba,ac
ababacababac,ab
bacbacbacbacbacacab,b
abbacabacaba,a
acabacabab,ac
bbacabacabacabaca,abc
acabbba,ac
bacabacabacacabaca,b
